"Name","Action","Direction"
"{3AED87D5-80E3-4DE0-B7A5-A472D60EFCB5}","Allow","Outbound"
"{B9526148-2820-491B-BA85-F7F482FC8FE6}","Allow","Outbound"
"{351FA642-E035-45BE-BD5C-9DFEA8009CF6}","Allow","Inbound"
"{D04E2674-132E-45FD-BD5A-E87BAA574CB0}","Allow","Outbound"
"{7C47257D-2943-4C0D-94B9-02F812AFA4A6}","Allow","Outbound"
"{FF6E888F-EBBC-4FE5-B4C1-40BD0841E871}","Allow","Inbound"
"{34D93EC4-97AB-4878-A990-96FB5F7C59AF}","Allow","Outbound"
"{1757E7E1-B745-48BC-B163-D099BD4C9956}","Allow","Inbound"
"{71B56EDA-3A5B-4027-86CB-D8CE053DD0F3}","Allow","Outbound"
"{4AD521BF-C17A-4CFF-BA41-E06FC820CD46}","Allow","Outbound"
"{BF4A83F9-BDD2-48E2-9F88-476BF8ED152E}","Allow","Inbound"
"{70C90E9A-CCF4-4ECC-839D-FEB25E1C99BE}","Allow","Outbound"
"{A09A30C5-2C6C-434D-B036-4D20A8672BE1}","Allow","Inbound"
"{52910761-1A3C-4087-A20F-017367349973}","Allow","Outbound"
"{FFB50F02-2B98-4E04-96F9-41D76C4FC0CD}","Allow","Outbound"
"{A2A4AD7E-0E37-4A10-AB04-B23B8601EB9E}","Allow","Outbound"
"{49C57860-8927-4B43-B461-A4B994F3232D}","Allow","Inbound"
"{E65821FC-8C8C-4AAB-9430-C44E7D27E812}","Allow","Outbound"
"{2C04B28E-85DC-4EFD-BE9C-E599E8995A48}","Allow","Outbound"
"UDP Query User{78F444CE-80EB-43BA-A305-A73D41A86A8C}C:\program files\cisco packet tracer 7.3.0\bin\packettracer7.exe","Allow","Inbound"
"TCP Query User{126E97F9-4FE9-4139-B3E9-B4F1208D0243}C:\program files\cisco packet tracer 7.3.0\bin\packettracer7.exe","Allow","Inbound"
"UDP Query User{462861CB-00AE-473F-9641-0DD7B00501B1}C:\program files\cisco packet tracer 7.3.0\bin\packettracer7.exe","Allow","Inbound"
"TCP Query User{35FFBD3D-CC45-4C38-8BFC-4D3E47EAD75E}C:\program files\cisco packet tracer 7.3.0\bin\packettracer7.exe","Allow","Inbound"
"{BDB0DC36-2DDD-4199-9668-FFAFE46C9DA7}","Allow","Outbound"
"{37EABBC8-DBD8-44B9-B468-0A463207FD1C}","Allow","Outbound"
